epoch,learning_rate,batch_size,num_epochs,dropout_rate,max_length,accuracy,class_name,precision,recall,f1-score,support,time
,,,,,,,L,0.7307692307692307,0.6404494382022472,0.6826347305389222,89.0,
,,,,,,,N,0.8689075630252101,0.9006968641114983,0.8845166809238666,574.0,
,,,,,,,R,0.8153846153846154,0.7851851851851852,0.8,270.0,
,,,,,,0.842443729903537,,,,,,
,,,,,,,macro avg,0.8050204697263522,0.7754438291663103,0.7890504704875964,933.0,
,,,,,,,weighted avg,0.8402414242966542,0.842443729903537,0.8408007136851698,933.0,
4,2e-05,8,4,0.1,256,0.834941050375134,,,,,,
,,,,,,,L,0.6413043478260869,0.6629213483146067,0.6519337016574586,89.0,
,,,,,,,N,0.88,0.8815331010452961,0.8807658833768495,574.0,
,,,,,,,R,0.8045112781954887,0.7925925925925926,0.7985074626865671,270.0,
,,,,,,0.834941050375134,,,,,,
,,,,,,,macro avg,0.7752718753405251,0.7790156806508318,0.7770690159069584,933.0,
,,,,,,,weighted avg,0.8353849218320512,0.834941050375134,0.8351326167536961,933.0,
1,2e-05,8,4,0.3,128,0.8038585209003215,,,,,,
,,,,,,,L,0.8148148148148148,0.24719101123595505,0.3793103448275862,89.0,
,,,,,,,N,0.860738255033557,0.8937282229965157,0.8769230769230769,574.0,
,,,,,,,R,0.6935483870967742,0.7962962962962963,0.7413793103448276,270.0,
,,,,,,0.8038585209003215,,,,,,
,,,,,,,macro avg,0.7897004856483821,0.6457385101762557,0.6658709106984969,933.0,
,,,,,,,weighted avg,0.8079746424693561,0.8038585209003215,0.790230311507615,933.0,
2,2e-05,8,4,0.3,128,0.8338692390139335,,,,,,
,,,,,,,L,0.6588235294117647,0.6292134831460674,0.6436781609195402,89.0,
,,,,,,,N,0.8722316865417377,0.89198606271777,0.8819982773471146,574.0,
,,,,,,,R,0.8045977011494253,0.7777777777777778,0.7909604519774012,270.0,
,,,,,,0.8338692390139335,,,,,,
,,,,,,,macro avg,0.7785509723676426,0.7663257745472051,0.7722122967480187,933.0,
,,,,,,,weighted avg,0.8323018879988738,0.8338692390139335,0.832919281407268,933.0,
3,2e-05,8,4,0.3,128,0.8456591639871383,,,,,,
,,,,,,,L,0.6904761904761905,0.651685393258427,0.6705202312138728,89.0,
,,,,,,,N,0.8692052980132451,0.9146341463414634,0.8913412563667232,574.0,
,,,,,,,R,0.8408163265306122,0.762962962962963,0.8,270.0,
,,,,,,0.8456591639871383,,,,,,
,,,,,,,macro avg,0.8001659383400158,0.7764275008542846,0.7872871625268654,933.0,
,,,,,,,weighted avg,0.8439406539927641,0.8456591639871383,0.8438437103242592,933.0,
4,2e-05,8,4,0.3,128,0.834941050375134,,,,,,
,,,,,,,L,0.6511627906976745,0.6292134831460674,0.64,89.0,
,,,,,,,N,0.875,0.8902439024390244,0.8825561312607945,574.0,
,,,,,,,R,0.8060836501901141,0.7851851851851852,0.7954971857410882,270.0,
,,,,,,0.834941050375134,,,,,,
,,,,,,,macro avg,0.7774154802959296,0.7682141902567591,0.7726844390006274,933.0,
,,,,,,,weighted avg,0.8337042592962741,0.834941050375134,0.8342245010651553,933.0,
1,2e-05,8,4,0.3,256,0.8102893890675241,,,,,,
,,,,,,,L,0.6491228070175439,0.4157303370786517,0.5068493150684932,89.0,
,,,,,,,N,0.8536184210526315,0.9041811846689896,0.8781725888324873,574.0,
,,,,,,,R,0.746268656716418,0.7407407407407407,0.7434944237918215,270.0,
