epoch,learning_rate,batch_size,num_epochs,dropout_rate,max_length,accuracy,class_name,precision,recall,f1-score,support,time
,,,,,,,weighted avg,0.7811451211239445,0.7817745803357314,0.7813408023639183,834.0,
3,2e-05,8,3,0.3,128,0.7745803357314148,,,,,,
,,,,,,,L,0.842391304347826,0.7560975609756098,0.7969151670951157,205.0,
,,,,,,,N,0.7649006622516556,0.7085889570552147,0.7356687898089171,326.0,
,,,,,,,R,0.7471264367816092,0.858085808580858,0.7987711213517665,303.0,
,,,,,,0.7745803357314148,,,,,,
,,,,,,,macro avg,0.7848061344603637,0.774257442203894,0.7771183594185999,834.0,
,,,,,,,weighted avg,0.7774905798922922,0.7745803357314148,0.7736490221844016,834.0,
1,2e-05,8,3,0.3,256,0.7529976019184652,,,,,,
,,,,,,,L,0.8031088082901554,0.7560975609756098,0.7788944723618091,205.0,
,,,,,,,N,0.7350993377483444,0.6809815950920245,0.7070063694267515,326.0,
,,,,,,,R,0.7404129793510325,0.8283828382838284,0.7819314641744548,303.0,
,,,,,,0.7529976019184652,,,,,,
,,,,,,,macro avg,0.7595403751298441,0.7551539981171542,0.7559441019876717,834.0,
,,,,,,,weighted avg,0.7537467896268644,0.7529976019184652,0.7518976941392705,834.0,
2,2e-05,8,3,0.3,256,0.7865707434052758,,,,,,
,,,,,,,L,0.861878453038674,0.7609756097560976,0.8082901554404145,205.0,
,,,,,,,N,0.7612903225806451,0.7239263803680982,0.7421383647798742,326.0,
,,,,,,,R,0.7696793002915452,0.8712871287128713,0.8173374613003096,303.0,
,,,,,,0.7865707434052758,,,,,,
,,,,,,,macro avg,0.7976160253036214,0.785396372945689,0.7892553271735329,834.0,
,,,,,,,weighted avg,0.7890630168136171,0.7865707434052758,0.7857192320833547,834.0,
3,2e-05,8,3,0.3,256,0.790167865707434,,,,,,
,,,,,,,L,0.8518518518518519,0.7853658536585366,0.817258883248731,205.0,
,,,,,,,N,0.7730263157894737,0.7208588957055214,0.746031746031746,326.0,
,,,,,,,R,0.7712609970674487,0.8679867986798679,0.8167701863354038,303.0,
,,,,,,0.790167865707434,,,,,,
,,,,,,,macro avg,0.7987130549029248,0.7914038493479753,0.7933536052052936,834.0,
,,,,,,,weighted avg,0.7917605403938068,0.790167865707434,0.7892395524364105,834.0,
